maker_id,maker_name,type,city_maker,auction_house,sale_date,lot,usd,gbp,eur,bold_currency,instrument_id,stick_length_without_x,stick_length_with_x,condition_x,material_grade_x,weight_x,stick_shape_x,stick_length_without_y,stick_length_with_y,condition_y,material_grade_y,weight_y,stick_shape_y,make_date
297,"Husson, Mars Auguste",Violin Bow,Paris,Tarisio,2016-03-15,91,5437.0,3835.0,4894.0,gbp,74535,,,0,0.0,62.5,round,,,0,0.0,62.5,round,
297,"Husson, Mars Auguste",Violin Bow,,Tarisio,2015-06-30,39,1856.0,1180.0,1659.0,gbp,73357,,,0,1.0,59.5,round,,,0,1.0,59.5,round,
297,"Husson, Mars Auguste",Violin Bow,Paris,Tarisio,2014-10-29,101,5105.0,3163.0,3997.0,gbp,68988,72.9,74.4,0,1.0,59.5,round,72.9,74.4,0,1.0,59.5,round,
297,"Husson, Mars Auguste",Viola Bow,Paris,Tarisio,2013-03-28,31,4997.0,3300.0,3903.0,gbp,64012,,,0,1.0,68.5,,,,0,1.0,68.5,,
297,"Husson, Mars Auguste",Cello Bow,Paris,Tarisio,2012-04-27,53,4200.0,2588.0,3175.0,usd,32451,,,0,1.0,77.0,,,,0,1.0,77.0,,
297,"Husson, Mars Auguste",Violin Bow,Paris,Tarisio,2011-02-25,84,900.0,560.0,654.0,usd,23374,,,2,0.5,,,,,2,0.5,,,
297,"Husson, Mars Auguste",Violin Bow,Mirecourt,Tarisio,2007-10-25,337,2223.0,1085.0,1554.0,usd,13600,,,0,1.0,60.5,,,,0,1.0,60.5,,
297,"Husson, Mars Auguste",Violin Bow,Mirecourt,Tarisio,2003-10-23,330,3450.0,2036.0,2927.0,usd,4885,,,0,1.0,63.5,,,,0,1.0,63.5,,
297,"Husson, Mars Auguste",Violin Bow,Mirecourt,Tarisio,2001-11-09,FB 25,2250.0,1544.0,2520.0,usd,2685,,,0,0.5,,,,,0,0.5,,,
299,"Husson, Pierre",Violin Bow,Mirecourt,Tarisio,2004-10-22,680,2300.0,1258.0,1825.0,usd,6666,,,0,1.0,59.0,,,,0,1.0,59.0,,
